locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
tay,Atayal,泰雅语,Atajal,اتيال,Atayal,Αταγιάλ,atayal,Atayal,Atayal,अतायल,atajalski,atajal,Atayal,Atayal,アタヤル語,아타얄어,Atayal,Atayal,atayal,Atayal,Atayal,атаяльский,atayal,Kiatayal,Atayal,อทายัล,Atayal,Atayal,atayal,atajal
teo,Ateso,伊特索语,Ateso,الاتيسو,Teso,Ατέσο,ateso,Ateso,Ateso,अतीसो,ateso,teszo,Ateso,Teso,テソ語（アテソ語）,아테소어,Ateso,Teso,teso,Ateso,Ateso,тесо,ateso,Kiteso,Ateso,อาเตโซ,Ateso Dili,Ateso,ateso,ateso
ati,Attié,阿铁语,Attié,أتييه,Attié,Ατιέ,attie,Attié,Attié,अताई,attié,attié,Attié,Attié,アティエ語,아티에어,Attié,Attie,attie,Attie,Attié,атье,atié,Kiattié,Attié,อัตตี,Attié,Attié,attié,atie
djk,Aukan,奥卡语,Aukaans,الاوكان,Aukisch,Όκαν,aukan,Okanisi,Aukan,औकान,aukan,aukan,Aukan,Aukan,アウカン語,아우칸어,Aukaans,Aukan,aukan,Aukan,Aukan,ауканский,aucano,Kiaukan,Ndjuka,เอากัน,Aukan Dili,Aukan,aukan,aukan
asf,Australian Sign Language,澳大利亚手语,Australiese Gebaretaal,لغة الاشارات الاوسترالية,Australische Gebärdensprache,Αυστραλιανή Νοηματική Γλώσσα,australialainen viittomakieli,Langue des signes australienne,Teanga Chomharthaíochta na hAstráile,ऑस्ट्रेलियन साइन लैंग्वेज,australski znakovni jezik,ausztrál jelnyelv,Bahasa Isyarat Australia,Lingua dei segni australiana,オーストラリア手話,오스트레일리아 수어,Australische Gebarentaal,Australsk tegnspråk,australijski język migowy,Língua de sinais australiana,Limbajul semnelor australian,австралийский жестовый,lenguaje de señas australiano,Lugha ya Ishara ya Australia,Australiskt teckenspråk,ภาษามือออสเตรเลีย,Avustralya İşaret Dili,Úc (Ngôn ngữ ký hiệu),llengua de signes australiana,australijski znakovni jezik
asq,Austrian Sign Language,奥地利手语,Oostenrykse Gebaretaal,لغة الاشارات النمساوية,Österreichische Gebärdensprache,Νοηματική Γλώσσα της Αυστρίας,itävaltalainen viittomakieli,Langue des signes autrichienne,Teanga Chomharthaíochta na hOstaire,ऑस्ट्रियन साइन लैंग्वेज,austrijski znakovni jezik,osztrák jelnyelv,Bahasa Isyarat Austria,Lingua dei segni austriaca,オーストリア手話,오스트리아 수어,Oostenrijkse Gebarentaal,Østerriksk tegnspråk,austriacki język migowy,Língua de sinais austríaca,Limbajul semnelor austriac,австрийский жестовый,lenguaje de señas austríaco,Lugha ya Ishara ya Austria,Österrikiskt teckenspråk,ภาษามือออสเตรีย,Avusturya İşaret Dili,Áo (Ngôn ngữ ký hiệu),llengua de signes austríaca,austrijski znakovni jezik
av,Avar,阿瓦尔语,Awaar,الافارية,Awarisch,Αβαρική,avaari,Avar,Avar,अवार,avarski,avar,Avar,Avaro,アバール語,아바르어,Avaars,Avarisk,awarski,Avar,Avar,аварский,avar,Kiavar,Avariska,อาวาร์,Avar Dili,Avar,àvar,avarski
awa,Awadhi,阿瓦德语,Awadhi,أوادهي,Awadhi,Αβάντι,awadhi,Awadhi,Awadhi,Awadhi,awadhi,avadhí,Awadhi,Awadhi,アワディー語,아와드어,Awadhi,Awadhi,awadhi,Awadhi,Awadhi,авадхи,awadhi,Awadhi,Avadhi,อาวาที,Awadhi,Awadhi,awadhi,avadi
agr,Awajun,阿瓦俊语,Awajun,الاوادجون,Aguaruna,Αγουαχούν,awajun,Awajun,Awajun,आवाजुन,awajun,agvaruna,Awajun,Awajún,アワフン語,아와준어,Awajun,Awajun,awajun,Awajún,Awajun,агуаруна,awajún,Kiawajun,Aguaruna,อะวาจุน,Awajun Dili,Awajun,awajún,aguaruna
azo,Awing,阿维应语,Awing,اوينغ,Awing,Αγουίνγκ,awing,Awing,Awing,Awing,awing,awing,Awing,Awing,アウィン語,아윙어,Awing,awing,awing,Awing,Awing,ауинг,awing,Awing,Awing,อาวิง,Awing,Awing,awing,Awing
nfl,Ayiwo,阿伊沃语,Ayiwo,اييوو,Äiwo,Άιβο,ayiwo,Ayiwo,Ayiwo,अयीवो,ayiwo,aiwo,Ayiwo,Ayiwo,エイウォ語,에이와이오어,Ayiwo,Ayiwo,aiwo,Ayiwo,Ayiwo,эиво,ayiwo,Kiayiwo,Aiwo,อะยีโว,Ayiwo Dili,Ayiwo,ayiwo,ajivo
ay,Aymara,艾马拉语,Aymara,الآيمارا,Aymaranisch,Αϊμάρα,aimara,Aymara,Aidhmiris,आइमरा,ajmarski,ajmara,Aymara,Aymará,アイマラ語,아이마라어,Aymara,Aymara,ajmara,Aimará,Aymara,аймара,aimara,Kiaymara,Aymara,ไอย์มารา,Aymara Dili,Aymara,aimara,ajmara
az,Azerbaijani,阿塞拜疆语,Azerbeidjans,الاذربية,Aserbaidschanisch,Αζερμπαϊτζανική,azeri,Azéri,Asarbaiseáinis,अज़रबैजानी,azerbajdžanski,azerbajdzsán,Azerbaijani,Azerbaigiano,アゼルバイジャン語,아제르바이잔어,Azerbeidzjaans,Aserbajdsjansk (latinsk skrift),azerbejdżański,Azerbaijano,Azerbaidjană,азербайджанский,azerí,Kiazerbaijani,Azerbajdzjanska (latinsk skrift),อาเซอร์ไบจาน,Azerice,Azerbaijan,àzeri,azerbejdžanski (latinično pismo)
azb,Azerbaijani (Arabic),阿塞拜疆语（阿拉伯字母）,Azerbeidjans (Arabies),الاذربية (العربية),Aserbaidschanisch (Arabische Schrift),Αζερμπαϊτζανική (αραβικό αλφάβητο),azeri (arab.),Azéri (arabe),Asarbaiseáinis,अज़रबाइजान (अरबी),azerbajdžanski (arapsko pismo),azerbajdzsán (arab betűs),Azerbaijani (Arab),Azerbaigiano (caratteri arabi),アゼルバイジャン語（アラビア文字）,아제르바이잔어 (아라비아 문자),Azerbeidzjaans (Arabisch),Aserbajdsjansk (arabisk skrift),azerbejdżański (alfabet arabski),Azerbaijano (árabe),Azerbaidjană (arabică),азербайджанский (арабский алфавит),azerí (alfabeto árabe),Kiazerbaijani (Kiarabu),Azerbajdzjanska (arabisk skrift),อาเซอร์ไบจาน (อาหรับ),Azerice (Arap Alfabesiyle),Azerbaijani (Ả Rập),àzeri meridional (alfabet àrab),azerbejdžanski (arapski)
az-cyrl,Azerbaijani (Cyrillic),阿塞拜疆语（西里尔字母）,Azerbeidjans (Cyrillies),الاذربية (السيريلية),Aserbaidschanisch (kyrillische Schrift),Αζερμπαϊτζανική (κυριλλικό αλφάβητο),azeri (kyrill.),Azéri (cyrillique),Asarbaiseáinis(Choireallach),अज़रबैजानी (सिरिलिक),azerbajdžanski (ćirilica),azerbajdzsán (cirill betűs),Azerbaijani (Sirilik),Azerbaigiano (caratteri cirillici),アゼルバイジャン語（キリル文字）,아제르바이잔어 (키릴 문자),Azerbeidzjaans (cyrillisch),Aserbajdsjansk (kyrillisk skrift),azerbejdżański (alfabet grażdanka),Azerbaijano (cirílico),Azerbaidjană (alfabet chirilic),азербайджанский (кириллица),azerí (alfabeto cirílico),Kiazerbaijani (cha Kisirili),Azerbajdzjanska (kyrillisk skrift),อาเซอร์ไบจาน (ซีริลลิก),Azerice (Kiril Alfabesi),Azerbaijan (Cyrillic),àzeri septentrional (alfabet ciríl·lic),azerbejdžanski
wyy-x-fnb,Ba,巴语,Ba,با,Bauanisch,Μπα,ba,Ba,Ba,Ba,ba,ba,Ba,Figiano (Ba),バ語,바어,Ba,Ba,ba,Ba,Ba,мба,ba,Ba,Ba,บา,Ba,Ba,ba,ba
bfq,Badaga,巴达加语,Badaga,باداغا,Badagu,Μπαντάγκα,badaga,Badaga,Badaga,Badaga,badaga,badaga,Badaga,Badaga,バダガ語,바다가어,Badaga,Badaga,badaga,Badaga,Badaga,бадага,badaga,Badaga,Badaga,บาดากา,Badaga,Badaga,badaga,Badaga
ksf,Bafia,巴菲亚语,Bafia,بافيا,Kpa,Μπάφια,bafia,Bafia,Bafia,Bafia,bafia,bafia,Bafia,Bafia,バフィア語,바피아어,Bafia,Bafia,bafia,Bafia,Bafia,бафиа,bafia,Bafia,Bafia,บาเฟีย,Bafia,Bafia,bafia,Bafia
bkh,Bakoko,巴科科语,Bakoko,باكوكو,Bakoko,Μπακόκο,bakoko,Bakoko,Bakoko,Bakoko,bakoko,bakoko,Bakoko,Bakoko,バココ語,바코코어,Bakoko,bakoko,bakoko,Bakoko,Bakoko,бакоко,bakoko,Bakoko,Bakoko,บาโกโก,Bakoko,Bakoko,bakoko,Bakoko
ban,Balinese,巴厘语,Balinees,البالية,Balinesisch,Μπαλινεζική,bali,Balinais,Balinese,बालिनीस,balijski,bali,Bali,Balinese,バリ語（バリ島）,발리어,Balisch,Balinesisk,balijski,Balinês,Balineză,балийский,bali,Kibaline,Balinesiska,บาหลี,Bali Dili,Balin,balinès,balijski
bm,Bambara,班巴拉语,Bambara,البامبارية,Bambaro,Μπαμπάρα,bambara,Bambara,Bambara,बाम्बारा,bambara,bambara,Bambara,Bambara,バンバラ語,밤바라어,Bambara,Bambara,bambara,Bambara,Bambara,бамана,bambara,Kibambara,Bambara,บัมบารา,Bambara Dili,Bambara,bambara,bambara
bax,Bamun,巴蒙语,Bamun,البامون,Bamum,Μπαμούν,bamum,Bamoun,Bamun,Bamun,bamun,bamum,Bamun,Bamun,バムン語,바문어,Bamoun,Bamun,bamun,Bamum,Bamun,бамум,bamún,Bamun,Bamum,บามุน,Bamun,Bamun,bamun,Bamun
bwi,Baniwa,巴尼瓦语,Baniwa,بانيوا,Baniwa,Μπανίουα,baniwa,Baniwa,Baniwa,Baniwa,baniwa,baniva,Baniwa,Baniwa,バニワ語,바니와어,Baniwa,Baniwa,baniwa,Baníua,Baniua,банива,baniwa,Baniwa,Baniwa,บานีวา,Baniwa,Baniwa,baniva,Банива
bjn,Banjar,班加尔语,Banjar,بانجار,Bandjaresisch,Μπαντζάρ,banjar,Banjar,Banjar,Banjar,banjar,banjar,Banjar,Banjar,バンジャル語,반자르어,Banjar,banjar,banjar,Banjar,Banjar,банджарский,banjar,Banjar,Banjaresiska,บันจาร์,Banjar,Banjar,banjar,Banjar
bci,Baoule,鲍勒语,Baoulé,الباولية,Baule,Μπαουλέ,baoule,Baoulé,Baoule,बाउले,baule,baule,Baoule,Baulè,バウレ語,바울레어,Baule,Baoule,baule,Baulê,Baoule,бауле,baulé,Kibaoule,Baule,บาอูเล,Baoule Dili,Baoule,baule,baul
bfa,Bari,巴里语,Bari,البارية,Bari,Μπάρι,bari,Bari,Bari,बारी,bari,bari,Bari,Bari,バリ語,바리어,Bari,Bari,bari,Bari,Bari,бари,bari,Kibari,Bari,บารี,Bari,Bari,bari,bari
bba,Bariba,巴里巴语,Bariba,الباريبا,Bariba,Μπαρίμπα,bariba,Bariba,Bariba,बारीबा,bariba,bariba,Bariba,Bariba,バリバ語,바리바어,Bariba,Bariba,bariba,Bariba,Bariba,бариба,bariba,kibariba,Bariba,บารีบา,Bariba Dili,Bariba,bariba,bariba
lel,Bashilele,巴希勒勒语,Bashilele,باشيليل,Bashilele,Μπασιλέλε,bashilele,Bashilele,Bashilele,Bashilele,bashilele,basilele,Bashilele,Bashilele,Bashilele,바실렐레어,Bashilele,Bashilele,lele,Bashilele,Usilele,усилеле,lele,Bashilele,Bashilele,บาชีเลเล,Bashilele,Bashilele,Bashilele,Bashilele
ba,Bashkir,巴什基尔语,Basjkiers,البشكيرية,Baschkirisch,Μπασκίρ,baškiiri,Bachkir,Baiscíris,बशखिर,baškirski,baskír,Bashkir,Baschiro,バシキール語,바슈키르어,Basjkiers,Basjkirsk,baszkirski,Basquir,Başkiră,башкирский,bashkir,Kibashkir,Basjkiriska,บัชคีร์,Başkırtça,Bashkir,baixkir,baškirski
eu,Basque,巴斯克语,Baskies,الباسكية,Baskisch,Βασκική,baski,Basque,Bascais,बास्क,baskijski,baszk,Basque,Basco,バスク語,바스크어,Baskisch,Baskisk,baskijski,Basco,Bască,баскский,euskera,Kibasque,Baskiska,บาสก์,Bask Dili,Basque,basc,baskijski
bas,Bassa (Cameroon),巴萨语（喀麦隆）,Bassa (Kameroen),الباسا (الكاميرون),Bassa (Kamerun),Μπάσα (Καμερούν),bassa (Kamerun),Bassa du Cameroun,Bassa (Camarún),बसा (कैमरून),basa (Kamerun),basza (Kamerun),Bassa (Kamerun),Bassa (Camerun),バッサ語（カメルーン）,바사어 (카메룬),Basa (Kameroen),Bassa (Kamerun),basa (Kamerun),Bassa (Camarões),Basa (Camerun),басса (Камерун),bassa de Camerún,Kibassa (cha Kamerun),Basa (Kamerun),บัสซา (แคเมอรูน),Basa (kamerun),Bassa (Cameroon),basaa (Camerun),basa (Kamerun)
bsq,Bassa (Liberia),巴萨语（利比里亚）,Bassa (Liberië),الباسا (ليبيريا),Bassa (Liberia),Μπάσα (Λιβερία),bassa (Liberia),Bassa du Libéria,Bassa (an Libéir),बसा (लाइबेरिया),basa (Liberija),basza (Libéria),Bassa (Liberia),Bassa (Liberia),バッサ語（リベリア）,바사어 (라이베리아),Bassa (Liberia),Bassa (Liberia),basa (Liberia),Bassa (Libéria),Basa (Liberia),басса (Либерия),bassa de Liberia,Kibassa (cha Liberia),Basa (Liberia),บัสซา (ไลบีเรีย),Basa (Liberya),Bassa (Liberia),bassa (Libèria),basa (Liberija)
btd,Batak (Dairi),巴塔克语（代里）,Batak (Dairi),باتاك (ديري),Dairi-Batak,Μπάτακ (Νταΐρι),batak (dairi),Batak dairi,Batak (Dairi),बाताक (डाइरी),batački (dairi),batak dairi,Batak (Pakpak),Batak dairi,バタク語（ダイリ）,바탁어,Bataks (Dairi),Batak (Dairi),batak (dairi),Bataque (dairi),Batak dairi,батакский (даири),batako dairí,Kibatak (Dairi),Batak (dairi),บาตัก (ไดรี),Batak (Dairi),Batak (Dairi),batak (Dairi),batački (Dairi)
btx,Batak (Karo),巴塔克语（卡罗）,Batak (Karo),باتاك (كارو),Karo-Batak,Μπάτακ (Κάρο),batak (karo),Batak karo,Batak (Karo),बताक (कारो),batački (Karo-batak),karo-batak,Batak (Karo),Batak karo,バタク語（カロ）,바탁어 (카로),Bataks (Karo),Batak (Karo),batak (karo),Bataque (karo),Batak karo,батакский (каро),batako karo,Kibatak (cha Karo),Batak (karo),บาตัก (กาโร),Batak (Karo),Batak (Karo),batak (Karo),batački (Karo)
bts,Batak (Simalungun),巴塔克语（西马隆贡）,Batak (Simalungun),باتاك (سيمالانغان),Simalungun-Batak,Μπάτακ (Σιμαλουντζούν),batak (simalungun),Batak simalungun,Batak (Simalungun),बाताक (सीमालुन्गुन),batački (Simalungun),simalunguni batak,Batak (Simalungun),Batak simalungun,バタク語（シマルングン）,바탁어 (시말룽운),Bataks (Simalungun),Batak (Simalungun),batak (simalung),Bataque (simalungun),Batak simalungun,батакский (сималунгун),batak simalunguno,Kibatak (Simalungun),Batak (simalungun),บาตัก (ซิมาลูงัน),Batak (Simalungun),Batak (Simalungun),batak (Simalungun),batački (Simalungun)
bbc,Batak (Toba),巴塔克语（托巴）,Batak (Toba),باتاك (توبا),Toba-Batak,Μπάτακ (Τόμπα),batak (toba),Batak toba,Batak (Toba),बताक (टोबा),batački (Toba-batak),tobai batak,Batak (Toba),Batak toba,バタク語（トバ）,바탁어 (토바),Bataks (Toba),Batak (Toba),batak (toba),Bataque (toba),Batak toba,батакский (тоба),batako toba,Kibatak (cha Toba),Batak (toba),บาตัก (โตบา),Batak (Toba),Batak (Toba),batak (Toba),batački (Toba)
bxa,Bauro,鲍罗语,Bauro,بورو,Bauro,Μπαούρο,bauro,Bauro,Bauro,बाउरो,bauro,bauro,Bauro,Bauro,バウロ語,바우로어,Bauro,Bauro,bauro,Bauro,Bauro,бауро,bauro,Kibauro,Bauro,เบาโร,Bauro Dili,Bauro,bauro,bauro
ron-x-bea,Beas,贝亚斯语,Beas,بيز,Beasch,Μπέας,beas,Beas,Beás,बीआस,"bajaša (romski, Mađarska)",beás,Beas,Beas,ベアス語,베아스어,Beas,Beas,pogadialekt Bojaszy,Beas,Beás,беас,beas,Kibeás,Beas,เบอัส,Beas Dili,Beas,beas,beas
sfb,Belgian French Sign Language,比利时法语区手语,Belgies-Franse Gebaretaal,لغة الاشارات البلجيكية الفرنسية,Belgisch-französische Gebärdensprache,Βελγική-Γαλλική Νοηματική Γλώσσα,belgianranskalainen viittomakieli,Langue des signes de Belgique francophone,Teanga Chomharthaíochta Fhraincis na Beilge,बेल्जियन फ्रेंच साइन लैंग्वेज,belgijski francuski znakovni jezik,belgiumi francia jelnyelv,Bahasa Isyarat Belgia Prancis,Lingua dei segni francese del Belgio,ベルギー･フランス手話,벨기에 프랑스 수어,Waalse Gebarentaal,Belgisk-fransk tegnspråk,francuski język migowy (Belgia),Língua de sinais belgo-francesa,Limbajul semnelor belgiano-francez,бельгийский французский жестовый,lenguaje de señas francés de bélgica,Lugha ya Ishara ya Kifaransa cha Ubelgiji,Belgisk-franskt teckenspråk,ภาษามือฝรั่งเศสเบลเยียม,Belçika Fransız İşaret Dili,Bỉ Pháp (Ngôn ngữ ký hiệu),llengua de signes belga francòfona,belgijski francuski znakovni jezik
bzj,Belize Kriol,伯利兹克里奥尔语,Beliziese Kriol,كرييولية بيليز,Belizean,Κριόλ της Μπελίζ,belizenkreoli,Créole du Bélize,Criól na Beilíse,बेलीज़ क्रियोल,beliški kreolski,belize-i kriol,Kriol Belize,Creolo del Belize,ベリーズ・クレオール語,벨리즈 크리올어,Creools (Belize),Belizisk kriol,kreolski (Belize),Kriol de Belize,Creolă (Belize),белизский креольский,criollo inglés de Belice,Kikrioli cha Belize,Belizisk kreol,คริโอลเบลีซ,Belize Kriolü,Belize Kriol,crioll de Belize,beližanski kreol
be,Belorussian,白俄罗斯语（白罗斯语）,Belarussies,البيلوروسية,Weißrussisch,Λευκορωσική,valkovenäjä,Biélorusse,Bealarúisis,बेलोरशियन,bjeloruski,fehérorosz,Byelrusia,Bielorusso,ベラルーシ語,벨라루스어,Wit-Russisch,Hviterussisk,białoruski,Bielo-russo,Belarusă,белорусский,bielorruso,Kibelorusi,Belarusiska,เบลารุส,Beyaz Rusça,Belorus,bielorús,beloruski
bmb,Bembe,本贝语,Bembe,البيمبية,Bembe,Μπέμπε,bembe,Bembe,Bembe,बेम्बे,bembe,bembe,Bembe,Bembe,ベンベ語,벰베어,Bembe,Bembe,bembe,Bembe,Bemba,бембе,bembe,Kibembe,Bembe,เบมเบ,Bembe,Bembe,bembe,bembe
bn,Bengali,孟加拉语,Bengali,البنغالية,Bengalisch,Βεγγαλική,bengali,Bengali,Beangáilis,बंगला,bengalski,bengáli,Bengali,Bengali,ベンガル語,벵골어,Bengali,Bengali,bengalski,Bengali,Bengali,бенгальский,bengalí,Kibengali,Bengali,เบงกาลี,Bengali,Bengal,bengalí,bengalski
bom,Berom,贝罗姆语,Berom,بيروم,Chenberom,Μπερόμ,berom,Berom,Berom,Berom,berom,berom,Berom,Birom,ベロム語,베롬어,Berom,Berom,berom,Berom,Berom,биром,berom,Berom,Berom,เบรอม,Berom,Berom,berom,Berom
bmm,Betsimisaraka (Northern),贝齐米萨拉卡语（北部）,Betsimisaraka (Noordelike),البتسيميساراكا الشمالية,Betsimisaraka (Nördliches),Μπετσιμισαράκα (βόρεια),betsimisaraka (pohjois-),Betsimisaraka du nord,Betsimisaraka (an Tuaisceart),बेटसिमिसाराका (उत्तरी),betsimisaraka (sjeverni),északi betsimisaraka,Betsimisaraka (Utara),Betsimisaraka settentrionale,ベツィミサラカ語（北部）,베치미사라카어 (북부),Betsimisaraka (Noordelijk),Betsimisaraka (nordlig),betsimisaraka (północny),Betsimisaraka (norte),Betsimisaraka de nord,бецимисарака (северный),betsimisaraka septentrional,Kibetsimisaraka (Kaskazini),Betsimisaraka (nord),เบตซีมีซารากา (เหนือ),Betsimisaraka Dili (Kuzey),Betsimisaraka (phía Bắc),betsimisaraka del nord,becimisaraka (severni)
